,image,HP,HR,Glass,EV,FV,Glared,S,L
129,C:\Users\nidhimh\Documents\Face\faces\image_0041.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
130,C:\Users\nidhimh\Documents\Face\faces\image_0042.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
131,C:\Users\nidhimh\Documents\Face\faces\image_0043.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
132,C:\Users\nidhimh\Documents\Face\faces\image_0044.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
133,C:\Users\nidhimh\Documents\Face\faces\image_0045.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
134,C:\Users\nidhimh\Documents\Face\faces\image_0046.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
135,C:\Users\nidhimh\Documents\Face\faces\image_0047.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
136,C:\Users\nidhimh\Documents\Face\faces\image_0048.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
137,C:\Users\nidhimh\Documents\Face\faces\image_0049.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
138,C:\Users\nidhimh\Documents\Face\faces\image_0050.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
139,C:\Users\nidhimh\Documents\Face\faces\image_0051.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
140,C:\Users\nidhimh\Documents\Face\faces\image_0052.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
141,C:\Users\nidhimh\Documents\Face\faces\image_0053.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
142,C:\Users\nidhimh\Documents\Face\faces\image_0054.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
143,C:\Users\nidhimh\Documents\Face\faces\image_0055.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
144,C:\Users\nidhimh\Documents\Face\faces\image_0056.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
145,C:\Users\nidhimh\Documents\Face\faces\image_0057.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
146,C:\Users\nidhimh\Documents\Face\faces\image_0058.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
147,C:\Users\nidhimh\Documents\Face\faces\image_0059.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
148,C:\Users\nidhimh\Documents\Face\faces\image_0060.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
149,C:\Users\nidhimh\Documents\Face\faces\image_0061.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
150,C:\Users\nidhimh\Documents\Face\faces\image_0062.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
151,C:\Users\nidhimh\Documents\Face\faces\image_0063.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
152,C:\Users\nidhimh\Documents\Face\faces\image_0064.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
153,C:\Users\nidhimh\Documents\Face\faces\image_0065.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
154,C:\Users\nidhimh\Documents\Face\faces\image_0066.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
155,C:\Users\nidhimh\Documents\Face\faces\image_0067.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
156,C:\Users\nidhimh\Documents\Face\faces\image_0068.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
157,C:\Users\nidhimh\Documents\Face\faces\image_0069.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
158,C:\Users\nidhimh\Documents\Face\faces\image_0070.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
159,C:\Users\nidhimh\Documents\Face\faces\image_0071.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
160,C:\Users\nidhimh\Documents\Face\faces\image_0072.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
161,C:\Users\nidhimh\Documents\Face\faces\image_0073.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
162,C:\Users\nidhimh\Documents\Face\faces\image_0074.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
163,C:\Users\nidhimh\Documents\Face\faces\image_0075.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
164,C:\Users\nidhimh\Documents\Face\faces\image_0076.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
165,C:\Users\nidhimh\Documents\Face\faces\image_0077.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
166,C:\Users\nidhimh\Documents\Face\faces\image_0078.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
167,C:\Users\nidhimh\Documents\Face\faces\image_0079.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
168,C:\Users\nidhimh\Documents\Face\faces\image_0080.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
169,C:\Users\nidhimh\Documents\Face\faces\image_0081.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
170,C:\Users\nidhimh\Documents\Face\faces\image_0082.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
171,C:\Users\nidhimh\Documents\Face\faces\image_0083.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
172,C:\Users\nidhimh\Documents\Face\faces\image_0084.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
173,C:\Users\nidhimh\Documents\Face\faces\image_0085.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
174,C:\Users\nidhimh\Documents\Face\faces\image_0086.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
175,C:\Users\nidhimh\Documents\Face\faces\image_0087.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
176,C:\Users\nidhimh\Documents\Face\faces\image_0088.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
177,C:\Users\nidhimh\Documents\Face\faces\image_0089.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
178,C:\Users\nidhimh\Documents\Face\faces\image_0090.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
179,C:\Users\nidhimh\Documents\Face\faces\image_0091.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
180,C:\Users\nidhimh\Documents\Face\faces\image_0092.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
181,C:\Users\nidhimh\Documents\Face\faces\image_0093.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
182,C:\Users\nidhimh\Documents\Face\faces\image_0094.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
183,C:\Users\nidhimh\Documents\Face\faces\image_0095.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
184,C:\Users\nidhimh\Documents\Face\faces\image_0096.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
185,C:\Users\nidhimh\Documents\Face\faces\image_0097.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
186,C:\Users\nidhimh\Documents\Face\faces\image_0098.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
187,C:\Users\nidhimh\Documents\Face\faces\image_0099.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
188,C:\Users\nidhimh\Documents\Face\faces\image_0100.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
189,C:\Users\nidhimh\Documents\Face\faces\image_0101.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
190,C:\Users\nidhimh\Documents\Face\faces\image_0102.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
191,C:\Users\nidhimh\Documents\Face\faces\image_0103.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
192,C:\Users\nidhimh\Documents\Face\faces\image_0104.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
193,C:\Users\nidhimh\Documents\Face\faces\image_0105.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
194,C:\Users\nidhimh\Documents\Face\faces\image_0106.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
195,C:\Users\nidhimh\Documents\Face\faces\image_0107.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
196,C:\Users\nidhimh\Documents\Face\faces\image_0108.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
197,C:\Users\nidhimh\Documents\Face\faces\image_0109.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
198,C:\Users\nidhimh\Documents\Face\faces\image_0110.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
199,C:\Users\nidhimh\Documents\Face\faces\image_0111.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
200,C:\Users\nidhimh\Documents\Face\faces\image_0112.jpg,Face is not vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
201,C:\Users\nidhimh\Documents\Face\faces\image_0113.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
202,C:\Users\nidhimh\Documents\Face\faces\image_0114.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
203,C:\Users\nidhimh\Documents\Face\faces\image_0115.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
204,C:\Users\nidhimh\Documents\Face\faces\image_0116.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
205,C:\Users\nidhimh\Documents\Face\faces\image_0117.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
206,C:\Users\nidhimh\Documents\Face\faces\image_0118.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
207,C:\Users\nidhimh\Documents\Face\faces\image_0119.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
208,C:\Users\nidhimh\Documents\Face\faces\image_0120.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
209,C:\Users\nidhimh\Documents\Face\faces\image_0121.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
210,C:\Users\nidhimh\Documents\Face\faces\image_0122.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
211,C:\Users\nidhimh\Documents\Face\faces\image_0123.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
212,C:\Users\nidhimh\Documents\Face\faces\image_0124.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
213,C:\Users\nidhimh\Documents\Face\faces\image_0125.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
214,C:\Users\nidhimh\Documents\Face\faces\image_0126.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
215,C:\Users\nidhimh\Documents\Face\faces\image_0127.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
216,C:\Users\nidhimh\Documents\Face\faces\image_0128.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
217,C:\Users\nidhimh\Documents\Face\faces\image_0129.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
218,C:\Users\nidhimh\Documents\Face\faces\image_0130.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
219,C:\Users\nidhimh\Documents\Face\faces\image_0131.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
220,C:\Users\nidhimh\Documents\Face\faces\image_0132.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
221,C:\Users\nidhimh\Documents\Face\faces\image_0133.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
222,C:\Users\nidhimh\Documents\Face\faces\image_0134.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
223,C:\Users\nidhimh\Documents\Face\faces\image_0135.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is poorly lit
224,C:\Users\nidhimh\Documents\Face\faces\image_0136.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
225,C:\Users\nidhimh\Documents\Face\faces\image_0137.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
226,C:\Users\nidhimh\Documents\Face\faces\image_0138.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
227,C:\Users\nidhimh\Documents\Face\faces\image_0139.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
228,C:\Users\nidhimh\Documents\Face\faces\image_0140.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
229,C:\Users\nidhimh\Documents\Face\faces\image_0141.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
230,C:\Users\nidhimh\Documents\Face\faces\image_0142.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
231,C:\Users\nidhimh\Documents\Face\faces\image_0143.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
232,C:\Users\nidhimh\Documents\Face\faces\image_0144.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
233,C:\Users\nidhimh\Documents\Face\faces\image_0145.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
234,C:\Users\nidhimh\Documents\Face\faces\image_0146.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
235,C:\Users\nidhimh\Documents\Face\faces\image_0147.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
236,C:\Users\nidhimh\Documents\Face\faces\image_0148.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
237,C:\Users\nidhimh\Documents\Face\faces\image_0149.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
238,C:\Users\nidhimh\Documents\Face\faces\image_0150.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
239,C:\Users\nidhimh\Documents\Face\faces\image_0151.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
240,C:\Users\nidhimh\Documents\Face\faces\image_0152.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
241,C:\Users\nidhimh\Documents\Face\faces\image_0153.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
242,C:\Users\nidhimh\Documents\Face\faces\image_0154.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
243,C:\Users\nidhimh\Documents\Face\faces\image_0155.jpg,Face is not vertically centred,head is tilted to the side and head is foreward or backward tilted,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
244,C:\Users\nidhimh\Documents\Face\faces\image_0156.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
245,C:\Users\nidhimh\Documents\Face\faces\image_0157.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
246,C:\Users\nidhimh\Documents\Face\faces\image_0158.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
247,C:\Users\nidhimh\Documents\Face\faces\image_0159.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
248,C:\Users\nidhimh\Documents\Face\faces\image_0160.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
249,C:\Users\nidhimh\Documents\Face\faces\image_0161.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
250,C:\Users\nidhimh\Documents\Face\faces\image_0162.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
251,C:\Users\nidhimh\Documents\Face\faces\image_0163.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
252,C:\Users\nidhimh\Documents\Face\faces\image_0164.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
253,C:\Users\nidhimh\Documents\Face\faces\image_0165.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
